iter	Passed	Remaining
0	140	140791
1	144	72098
2	149	49779
3	153	38111
4	157	31309
5	160	26629
6	163	23257
7	166	20691
8	170	18742
9	173	17147
10	176	15868
11	179	14799
12	182	13872
13	185	13093
14	188	12373
15	191	11747
16	193	11196
17	196	10733
18	199	10289
19	201	9881
20	204	9514
21	206	9178
22	209	8880
23	211	8609
24	214	8352
25	216	8115
26	219	7895
27	221	7693
28	224	7517
29	226	7337
30	229	7166
31	231	7005
32	233	6855
33	237	6742
34	240	6617
35	242	6495
36	245	6387
37	248	6288
38	251	6198
39	254	6100
40	256	6007
41	259	5914
42	262	5834
43	265	5760
44	267	5679
45	270	5608
46	273	5548
47	277	5501
48	279	5433
49	282	5366
50	285	5304
51	287	5247
52	290	5194
53	293	5142
54	295	5077
55	297	5015
56	299	4952
57	301	4893
58	302	4831
59	304	4773
60	306	4716
61	307	4659
62	309	4607
63	311	4552
64	312	4497
65	314	4450
66	316	4404
67	317	4357
68	319	4312
69	321	4268
70	322	4224
71	324	4180
72	325	4135
73	327	4091
74	328	4049
75	329	4009
76	331	3968
77	332	3928
78	333	3890
79	334	3850
80	335	3811
81	337	3772
82	337	3730
83	338	3693
84	339	3656
85	340	3623
86	342	3590
87	343	3559
88	344	3527
89	345	3495
90	347	3468
91	348	3438
92	349	3408
93	350	3379
94	351	3353
95	353	3327
96	354	3297
97	355	3268
98	356	3242
99	357	3216
100	358	3190
101	359	3164
102	360	3143
103	362	3120
104	363	3096
105	364	3074
106	365	3050
107	367	3033
108	368	3011
109	369	2989
110	370	2966
111	371	2943
112	372	2921
113	373	2898
114	374	2878
115	375	2860
116	376	2841
117	377	2821
118	378	2801
119	379	2782
120	380	2765
121	381	2745
122	382	2726
123	383	2707
124	384	2688
125	385	2670
126	385	2652
127	386	2635
128	387	2618
129	389	2603
130	390	2590
131	391	2574
132	392	2559
133	393	2544
134	394	2528
135	395	2513
136	396	2497
137	397	2483
138	398	2469
139	399	2455
140	400	2441
141	401	2425
142	402	2413
143	403	2400
144	404	2387
145	405	2374
146	407	2361
147	407	2348
148	408	2335
149	410	2323
150	410	2310
151	412	2298
152	413	2286
153	413	2273
154	414	2261
155	415	2248
156	416	2238
157	418	2228
158	419	2217
159	420	2206
160	420	2193
161	422	2183
162	423	2172
163	424	2161
164	424	2150
165	425	2139
166	426	2128
167	427	2118
168	428	2107
169	429	2097
170	431	2091
171	433	2085
172	434	2076
173	435	2067
174	436	2058
175	437	2049
176	438	2039
177	439	2029
178	440	2020
179	441	2011
180	442	2002
181	443	1993
182	444	1985
183	445	1977
184	447	1969
185	448	1962
186	449	1954
187	450	1945
188	451	1937
189	452	1928
190	454	1923
191	455	1917
192	456	1909
193	457	1901
194	459	1898
195	461	1894
196	463	1887
197	464	1880
